Unnamed: 0.1,Unnamed: 0,text,labels,txt_len
5533,9306,A family is described in which three children had homozygous deficiency of C3 and in which both parents and two other children were heterozygous for the C3 null gene .,O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O,13
4162,12606,"It is one member of a family of lamina - associated proteins which includes LAP1 , LAP2 and lamin B receptor ( LBR ) .",O O O O O O O O O O O O O O O O O O O O O O O O O,39
2034,523,Severe clinical expression in X - linked Emery - Dreifuss muscular dystrophy .,O O O O B I I I I I I I O,32
4918,3286,Haplotype and multipoint linkage analysis in Finnish choroideremia families .,O O O O O O O B O O,32
7176,2874,We have sequenced the portions of the introns flanking each of the 14 HEXA exons in order to specify oligonucleotide primers for the PCR - dependent amplification of each exon and splice - junction sequence .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
8559,10755,The murine homolog of the human breast and ovarian cancer susceptibility gene Brca1 maps to mouse chromosome 11D .,O O O O O O B I I I O O O O O O O O O,13
898,7215,Another three affected males from the family had similar findings .,O O O O O O O O O O O,13
4059,5155,"The dominant effects of the CETP missense mutation during cellular expression probably explains why the probands have markedly increased HDL in the heterozygous state , and suggests that the active molecular species of CETP may be multimeric . .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,32
586,2970,Two other Mexican males with G6PD deficiency were found to have the same mutation .,O O O O O B I O O O O O O O O,32
7737,499,"Because of X chromosome inactivation , female offspring are mosaic for cells that express or lack GPI - linked proteins .",O O O O O O O O O O O O O O O O O O O O O,32
7420,2911,A single origin of phenylketonuria in Yemenite Jews .,O O O O B O O O O,32
7558,12242,We proposed and tested a simple model for correlation between genotype and phenotypic outcome .,O O O O O O O O O O O O O O O,39
3122,7129,"Mutations in the gene ATM are responsible for the genetic disorder ataxia - telangiectasia ( A - T ) , which is characterized by cerebellar dysfunction , radiosensitivity , chromosomal instability and cancer predisposition .",O O O O O O O O O B I B I I O B I I O O O O O O B I O O O O O O B O O,13
9662,5816,We have examined the OCRL1 gene in eight unrelated patients with OCRL and have found seven new mutations and one recurrent in - frame deletion .,O O O O O O O O O O O B O O O O O O O O O O O O O O,13
6874,2550,"In that allele arginine84 , a residue that is highly conserved in the arylsulfatase gene family , is replaced by glutamine .",O O O O O O O O O O O O O O O O O O O O O O,32
3700,5531,"Deficiency of the ninth component of human complement ( C9 ) is the most common complement deficiency in Japan , with an incidence of approximately one homozygote in 1000 , but is very rare in other countries .",B I I I I I I I O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O,13
2061,10773,Several BRCA1 mutations have now been found to occur in geographically diverse breast and ovarian cancer families .,O O O O O O O O O O O O B I I I O O,13
1210,5789,"Several cases of exon skipping in both normal controls and patients for whom no underlying defect could be found in genomic DNA were also observed , suggesting caution in the interpretation of exon deletions observed in ATM cDNA when there is no accompanying identification of genomic mutations . .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,13
